"sr_number","sr_type","sr_short_code","created_department","owner_department","status","origin","created_date","last_modified_date","closed_date","street_address","city","state","zip_code","street_number","street_direction","street_name","street_type","duplicate","legacy_record","legacy_sr_number","parent_sr_number","community_area","ward","electrical_district","electricity_grid","police_sector","police_district","police_beat","precinct","sanitation_division_days","created_hour","created_day_of_week","created_month","x_coordinate","y_coordinate","latitude","longitude","location"
"SR26-01532844","Abandoned Vehicle Complaint","SKA",,"Streets and Sanitation","Open","Mobile Device","2026-08-01T14:08:30.000","2026-08-01T14:08:34.000",,"644 N RIDGEWAY AVE",,,,"644","N","RIDGEWAY","AVE","false","false",,,"23","27","6","G021","2","11","1122","23",,"14","7","8","1151174.2908464975","1904229.435499344","41.89310100094","-87.720250500002","
,  
(41.89310100094, -87.720250500002)"
"SR26-01532843","Yard Waste Pick-Up Request","SCQ",,"Streets and Sanitation","Open","Mobile Device","2026-08-01T14:08:25.000","2026-08-01T14:08:30.000",,"3822 W CONGRESS PKWY",,,,"3822","W","CONGRESS","PKWY","false","false",,,"26","28","6","G023","3","11","1133","19",,"14","7","8","1150859.6016094452","1897497.1325426816","41.87463300094","-87.721582500002","
,  
(41.87463300094, -87.721582500002)"
"SR26-01532842","Tree Debris Clean-Up Request","SEL",,"Streets and Sanitation","Open","Mobile Device","2026-08-01T14:08:22.000","2026-08-01T14:08:25.000",,"9654 S CHAPPEL AVE",,,,"9654","S","CHAPPEL","AVE","false","false",,,"51","7","15","V045","3","04","0431","27",,"14","7","8","1191464.2542760938","1841133.624978107","41.71907700094","-87.574329000002","
,  
(41.71907700094, -87.574329000002)"
"SR26-01532841","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:08:07.000","2026-08-01T14:08:08.000","2026-08-01T14:08:07.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532840","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:07:59.000","2026-08-01T14:08:00.000","2026-08-01T14:08:00.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532839","Water On Street Complaint","AAE",,"DWM - Department of Water Management","Open","Mobile Device","2026-08-01T14:07:40.000","2026-08-01T14:07:43.000",,"6054 N NEVA AVE",,,,"6054","N","NEVA","AVE","true","false",,"SR26-01531359","10","41","1","Y107","1","16","1612","19",,"14","7","8","1127620.5308800105","1939976.3224908726","41.991624000941","-87.805948500002","
,  
(41.991624000941, -87.805948500002)"
"SR26-01532838","E-Scooter Parking Complaint","ESPC",,"Outside Agencies","Open","Internet","2026-08-01T14:07:38.000","2026-08-01T14:07:40.000",,"1883 N STOCKTON DR","Chicago","Illinois","60614","1883","N","STOCKTON","DR","false","false",,,"7","43","5","P018","1","18","1814","3",,"14","7","8","1174664.5730125855","1912944.252499835","41.916521903335","-87.633718880219","
,  
(41.916521903335, -87.633718880219)"
"SR26-01532837","Water On Street Complaint","AAE",,"DWM - Department of Water Management","Open","Mobile Device","2026-08-01T14:07:28.000","2026-08-01T14:10:35.000",,"556 W ARMITAGE AVE",,,,"556","W","ARMITAGE","AVE","false","false",,,"7","43","5","O017","1","18","1812","14",,"14","7","8","1172010.7431800254","1913617.0195321739","41.918427000941","-87.643449000002","
,  
(41.918427000941, -87.643449000002)"
"SR26-01532836","Water in Basement Complaint","AAF",,"DWM - Department of Water Management","Open","Internet","2026-08-01T14:07:23.000","2026-08-01T14:07:28.000",,"2042 W RICE ST","Chicago","Illinois","60622","2042","W","RICE","ST","false","false",,,"24","36","5","K020","1","12","1212","24",,"14","7","8","1162459.847237354","1905739.508499008","41.89701600094","-87.678760500002","
,  
(41.89701600094, -87.678760500002)"
"SR26-01532835","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:07:21.000","2026-08-01T14:07:22.000","2026-08-01T14:07:22.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532834","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:06:46.000","2026-08-01T14:06:47.000","2026-08-01T14:06:46.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532833","Traffic Signal Out Complaint","SFB",,"CDOT - Department of Transportation","Open","Internet","2026-08-01T14:06:45.000","2026-08-01T14:06:51.000",,"5098 S EAST END AVE","Chicago","Illinois","60615","5098","S","EAST END","AVE","false","false",,,"39","5","9","U033","2","02","0222","18",,"14","7","8","1188152.3729773997","1871531.8212602572","41.802571855711","-87.585491246927","
,  
(41.802571855711, -87.585491246927)"
"SR26-01532831","Fly Dumping Complaint","SDR","311 City Services","Streets and Sanitation","Open","Phone Call","2026-08-01T14:06:23.000","2026-08-01T14:06:25.000",,"4432 W MADISON ST","Chicago","Illinois","60624","4432","W","MADISON","ST","false","false",,,"26","28","6","E022","1","11","1113","23",,"14","7","8","1146687.8095010624","1899757.0312802515","41.88091500094","-87.736842000002","
,  
(41.88091500094, -87.736842000002)"
"SR26-01532830","Tree Removal Inspection","SEE","311 City Services","Streets and Sanitation","Open","Phone Call","2026-08-01T14:06:12.000","2026-08-01T14:06:14.000",,"8143 S KILBOURN AVE","Chicago","Illinois","60652","8143","S","KILBOURN","AVE","false","false",,,"70","18","10","E041","3","08","0834","25",,"14","7","8","1147909.4612241248","1849907.4517204612","41.74409700094","-87.733633500002","
,  
(41.74409700094, -87.733633500002)"
"SR26-01532829","Tree Debris Clean-Up Request","SEL","Streets and Sanitation","Streets and Sanitation","Open","Phone Call","2026-08-01T14:06:07.000","2026-08-01T14:06:09.000",,"2951 N AVERS AVE","Chicago","Illinois","60618","2951","N","AVERS","AVE","false","false",,,"21","31","3","G015","2","25","2523","4",,"14","7","8","1150277.4701639044","1919546.134050902","41.935149000941","-87.723144000002","
,  
(41.935149000941, -87.723144000002)"
"SR26-01532828","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:06:07.000","2026-08-01T14:06:08.000","2026-08-01T14:06:07.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532827","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:05:43.000","2026-08-01T14:05:44.000","2026-08-01T14:05:44.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532826","E-Scooter Parking Complaint","ESPC",,"Outside Agencies","Open","Internet","2026-08-01T14:05:42.000","2026-08-01T14:05:44.000",,"1709 N STOCKTON DR","Chicago","Illinois","60614","1709","N","STOCKTON","DR","false","false",,,"7","43","5","P018","1","18","1814","3",,"14","7","8","1175237.6138611485","1911882.6046016305","41.913595848741","-87.63164547982","
,  
(41.913595848741, -87.63164547982)"
"SR26-01532825","Garbage Cart Maintenance","SIE",,"Streets and Sanitation","Open","Mobile Device","2026-08-01T14:05:33.000","2026-08-01T14:05:35.000",,"2701 S PULASKI RD",,,,"2701","S","PULASKI","RD","false","false",,,"30","22","8","G028","3","10","1031","11",,"14","7","8","1150228.6260666559","1885718.3826399934","41.84232300094","-87.724206000002","
,  
(41.84232300094, -87.724206000002)"
"SR26-01532824","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:05:30.000","2026-08-01T14:05:31.000","2026-08-01T14:05:30.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532823","Tree Emergency","SEC",,"Streets and Sanitation","Completed","Mass Entry","2026-08-01T14:05:16.000","2026-08-01T14:05:18.000","2026-08-01T14:05:18.000","2421 W FARWELL AVE","Chicago","Illinois","60645","2421","W","FARWELL","AVE","false","false",,,"2","40","2","J005","1","24","2411","1",,"14","7","8","1158826.9560960147","1945322.3647762816","42.005709000941","-87.691014000002","
,  
(42.005709000941, -87.691014000002)"
"SR26-01532822","Tree Debris Clean-Up Request","SEL","Streets and Sanitation","Streets and Sanitation","Open","Phone Call","2026-08-01T14:05:02.000","2026-08-01T14:05:04.000",,"2833 N AVERS AVE","Chicago","Illinois","60618","2833","N","AVERS","AVE","false","false",,,"21","31","3","G015","2","25","2523","4",,"14","7","8","1150307.9346808847","1918706.726598747","41.932845000941","-87.723054000002","
,  
(41.932845000941, -87.723054000002)"
"SR26-01532821","Vacant/Abandoned Building Complaint","BBK",,"DOB - Buildings","Open","Internet","2026-08-01T14:05:01.000","2026-08-01T14:05:05.000",,"6701 S MERRILL AVE","Chicago","Illinois","60649","6701","S","MERRILL","AVE","false","false",,,"43","5","12","V038","3","03","0331","4",,"14","7","8","1191718.4618345266","1860944.9735624432","41.773434938831","-87.57275655469","
,  
(41.773434938831, -87.57275655469)"
"SR26-01532820","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:04:52.000","2026-08-01T14:04:52.000","2026-08-01T14:04:52.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532819","311 INFORMATION ONLY CALL","311IOC","311 City Services","311 City Services","Completed","Phone Call","2026-08-01T14:04:46.000","2026-08-01T14:04:48.000","2026-08-01T14:04:47.000","2111 W Lexington ST","Chicago","Illinois","60612","2111","W","Lexington","ST","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532817","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:04:37.000","2026-08-01T14:04:39.000","2026-08-01T14:04:38.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532816","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:04:13.000","2026-08-01T14:04:14.000","2026-08-01T14:04:14.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532815","Tree Emergency","SEC","Streets and Sanitation","Streets and Sanitation","Completed","Phone Call","2026-08-01T14:04:07.000","2026-08-01T14:04:35.000","2026-08-01T14:04:35.000","2729 W BALMORAL AVE","Chicago","Illinois","60625","2729","W","BALMORAL","AVE","false","false",,,"4","40","2","J009","1","20","2011","11",,"14","7","8","1157056.3448716504","1935730.8381686017","41.979425705242","-87.697790153695","
,  
(41.979425705242, -87.697790153695)"
"SR26-01532814","Tree Emergency","SEC","Streets and Sanitation","Streets and Sanitation","Open","Phone Call","2026-08-01T14:03:41.000","2026-08-01T14:03:43.000",,"3850 N MARSHFIELD AVE","Chicago","Illinois","60613","3850","N","MARSHFIELD","AVE","false","false",,,"6","47","4","L013","2","19","1922","21",,"14","7","8","1164606.6008239994","1925852.2726477252","41.95216143807","-87.670304625211","
,  
(41.95216143807, -87.670304625211)"
"SR26-01532813","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:03:32.000","2026-08-01T14:03:33.000","2026-08-01T14:03:33.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532812","Stray Animal Complaint","EAE","311 City Services","Animal Care and Control","Open","Phone Call","2026-08-01T14:03:32.000","2026-08-01T14:03:33.000",,"264 N PULASKI RD","Chicago","Illinois",,"264","N","PULASKI","RD","false","false",,,"26","37","6","F022","1","11","1114","5",,"14","7","8","1149680.119749552","1901439.64235944","41.885474675108","-87.725810616567","
,  
(41.885474675108, -87.725810616567)"
"SR26-01532810","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:02:54.000","2026-08-01T14:02:55.000","2026-08-01T14:02:54.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532809","Blue Recycling Cart","SRRC",,"Streets and Sanitation","Open","Internet","2026-08-01T14:02:52.000","2026-08-01T14:02:54.000",,"1740 W CORTLAND ST","Chicago","Illinois","60622","1740","W","CORTLAND","ST","false","false",,,"22","32","5","L018","3","14","1433","24",,"14","7","8","1164261.8142476932","1912772.0964370775","41.916276000941","-87.671943000002","
,  
(41.916276000941, -87.671943000002)"
"SR26-01532808","Tree Emergency","SEC","311 City Services","Streets and Sanitation","Open","Phone Call","2026-08-01T14:02:47.000","2026-08-01T14:02:49.000",,"1143 N KARLOV AVE","Chicago","Illinois","60651","1143","N","KARLOV","AVE","false","false",,,"23","37","6","F020","1","11","1111","19",,"14","7","8","1148911.5321915923","1907486.5756572857","41.902083000941","-87.728476500002","
,  
(41.902083000941, -87.728476500002)"
"SR26-01532807","Tree Emergency","SEC","Streets and Sanitation","Streets and Sanitation","Completed","Phone Call","2026-08-01T14:02:42.000","2026-08-01T14:03:23.000","2026-08-01T14:03:23.000","2739 W SUMMERDALE AVE","Chicago","Illinois","60625","2739","W","SUMMERDALE","AVE","false","false",,,"4","40","2","J009","1","20","2011","11",,"14","7","8","1157013.8506858984","1935325.025803633","41.978313000941","-87.697957500002","
,  
(41.978313000941, -87.697957500002)"
"SR26-01532806","Water On Street Complaint","AAE",,"DWM - Department of Water Management","Open","Internet","2026-08-01T14:02:29.000","2026-08-01T14:02:34.000",,"925 S ABERDEEN ST","Chicago","Illinois","60607","925","S","ABERDEEN","ST","false","false",,,"28","34","7","N024","3","12","1232","4",,"14","7","8","1169268.7569469633","1895936.6562413538","41.86997100094","-87.654037500002","
,  
(41.86997100094, -87.654037500002)"
"SR26-01532805","Garbage Cart Maintenance","SIE",,"Streets and Sanitation","Open","Mobile Device","2026-08-01T14:02:16.000","2026-08-01T14:02:18.000",,"957 W 54TH PL",,,,"957","W","54TH","PL","true","false",,"SR26-01532710","61","16","11","N034","3","09","0934","15",,"14","7","8","1170624.931358069","1868603.9693511564","41.79493800094","-87.649857000002","
,  
(41.79493800094, -87.649857000002)"
"SR26-01532804","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:02:14.000","2026-08-01T14:02:15.000","2026-08-01T14:02:14.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
